year,ref_number,utm_easting,utm_northing,num_vehicles,num_casualties,accident_date,time,time_mins,first_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,casualty_sex,casualty_age,vehicle_type
2012,120155437,429769,430607,3,5,4/07/12,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,32,9
2012,120155437,429769,430607,3,5,4/07/12,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,25,9
2012,120493132,430630,435270,2,1,11/09/12,2350,1430,6,Dry,Darkness: street lights present but unlit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,26,9
2013,130154314,425097,434943,1,1,4/13/13,2350,1430,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,43,8
2013,130420408,426783,435564,2,1,10/11/13,2350,1430,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Serious,Female,36,9
2012,120229436,430962,435785,1,2,5/25/12,2348,1428,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,29,11
2012,120229436,430962,435785,1,2,5/25/12,2348,1428,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,32,11
2012,120544708,425643,432996,2,1,12/15/12,2348,1428,6,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,9
2009,1094809,440749,434468,1,1,12/24/09,2346,1426,1,Wet / Damp,Darkness: no street lighting,Fog or mist – if hazard,Driver or rider,Serious,Male,41,9
2009,286709,431969,435824,2,4,4/12/09,2345,1425,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,27,9
2009,286709,431969,435824,2,4,4/12/09,2345,1425,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,15,9
2009,286709,431969,435824,2,4,4/12/09,2345,1425,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,18,9
2009,286709,431969,435824,2,4,4/12/09,2345,1425,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,22,9
2009,325309,430276,433779,2,1,4/25/09,2345,1425,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,37,9
2009,635709,429930,432980,2,1,7/31/09,2345,1425,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,58,9
2009,859809,437754,433053,1,4,10/20/09,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,22,9
2009,859809,437754,433053,1,4,10/20/09,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,9
2009,859809,437754,433053,1,4,10/20/09,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,9
2009,859809,437754,433053,1,4,10/20/09,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,22,9
2009,894209,435705,435738,1,1,10/31/09,2345,1425,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,9
2010,10BA0001625,429403,439561,1,1,3/02/10,2345,1425,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,69,9
2010,10AA0005218,425456,434289,1,2,7/20/10,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,49,9
2010,10AA0005218,425456,434289,1,2,7/20/10,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,20,9
2011,110507679,429629,434633,1,1,10/28/11,2345,1425,3,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,24,9
2011,110503799,439406,439310,1,1,11/02/11,2345,1425,3,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,19,9
2011,110521199,431071,435595,2,1,11/05/11,2345,1425,6,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Male,37,19
2011,110586444,430470,437332,1,1,12/24/11,2345,1425,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,50,9
2012,120022439,428440,434999,1,1,1/14/12,2345,1425,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,8
2012,120416002,429593,434708,2,4,9/25/12,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Male,39,8
